index,Provider ID,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
2857,230054,MI,49855,9062289440,Acute Care Hospitals,Government - Local,1,3.0,,Below Average,,Average,,Above Average,,Below Average,,Average,,Average,,Below Average,,"420 W MAGNETIC, MARQUETTE, MI 49855, (46.553607, -87.399158)"
2858,300018,NH,3820,6037402580,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Below Average,,Above Average,,Above Average,,Above Average,,Below Average,,Average,,"789 CENTRAL AVE, DOVER, NH 03820, (43.212442, -70.875139)"
2859,300017,NH,3038,6034212100,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Average,,Below Average,,Average,,Above Average,,Above Average,,Average,,"1 PARKLAND DRIVE, DERRY, NH 03038, (42.875825, -71.317578)"
2860,330265,NY,14432,3154629561,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Above Average,,Above Average,,Average,,Unknown,Results are not available for this reporting period,"2 COULTER ROAD, CLIFTON SPRINGS, NY 14432, (42.960473, -77.139252)"
2861,300014,NH,3867,6033325211,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Average,,Average,,Above Average,,Average,,Average,,Average,,"11 WHITEHALL ROAD, ROCHESTER, NH 03867, (43.298189, -70.961194)"
2862,260085,MO,64114,8169424000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Above Average,,Below Average,,Above Average,,Above Average,,Average,,"1000 CARONDELET DR, KANSAS CITY, MO 64114, (38.935007, -94.605907)"
2863,233300,MI,48201,3137455437,Childrens,Proprietary,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"3901 BEAUBIEN STREET, DETROIT, MI 48201, (42.351816, -83.053758)"
2864,281323,NE,68661,4023522441,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,"104 WEST 17TH ST, SCHUYLER, NE 68661, (41.454579, -97.059725)"
2865,310119,NJ,7103,9739725658,Acute Care Hospitals,Government - State,1,1.0,,Average,,Below Average,,Average,,Below Average,,Above Average,,Below Average,,Below Average,,"150 BERGEN ST, NEWARK, NJ 07103, (40.74095, -74.19213)"
2866,281313,NE,69138,3085373661,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,"910 20TH ST, GOTHENBURG, NE 69138, (40.938132, -100.153352)"
2867,320063,NM,88220,5758874570,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Below Average,,Average,,Below Average,,Average,,Average,,Average,,"2430 WEST PIERCE STREET, CARLSBAD, NM 88220, (32.441844, -104.258646)"
2868,251330,MS,39653,6013845801,Critical Access Hospitals,Voluntary non-profit - Other,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,"40 UNION CHURCH RD, MEADVILLE, MS 39653, (31.473248, -90.884924)"
2869,241355,MN,55336,3208643121,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Average,,Average,,Above Average,,Unknown,Results are not available for this reporting period,"1805 HENNEPIN AVENUE NORTH, GLENCOE, MN 55336, (44.77755, -94.151714)"
2870,230236,MI,49519,6162527200,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Below Average,,Above Average,,Above Average,,Above Average,,Above Average,,Average,,"5900 BYRON CENTER AVENUE, SW, WYOMING, MI 49519, (42.858248, -85.722943)"
2871,271323,MT,59859,4068264800,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"10 KRUGER RD, PLAINS, MT 59859, (47.46954, -114.892132)"
2872,390046,PA,17403,7178512345,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Below Average,,Above Average,,Above Average,,Average,,Below Average,,Average,,Average,,"1001 SOUTH GEORGE STREET, YORK, PA 17403, (39.946668, -76.720535)"
2873,243300,MN,55106,6122912848,Childrens,Government - Hospital District or Authority,0,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"200 UNIVERSITY AVENUE EAST, SAINT PAUL, MN 55106, (44.956547, -93.09566)"
2874,290032,NV,89434,7753317000,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Average,,Average,,Average,,Average,,Average,,Average,,"2375 PRATER WAY, SPARKS, NV 89434, (39.542488, -119.697974)"
2875,321306,NM,88345,5752578200,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"211 SUDDERTH DRIVE, RUIDOSO, NM 88345, (33.323052, -105.631136)"
2876,270074,MT,59417,4063386157,Acute Care Hospitals,Government - Federal,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Below Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"760 HOSPITAL CIRCLE, POST OFFICE BOX 760, BROWNING, MT 59417, (48.566609, -113.019655)"
2877,250007,MS,39530,2284361104,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Average,,Below Average,,Below Average,,Average,,Average,,Below Average,,"150 REYNOIR STREET, BILOXI, MS 39530, (30.396112, -88.890438)"
2878,281304,NE,68370,4027686041,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,"120 PARK AVE, HEBRON, NE 68370, (40.160123, -97.593267)"
2879,260015,MO,63857,5738884522,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Average,,Below Average,,Average,,Average,,Above Average,,Average,,"1301 FIRST ST, KENNETT, MO 63857, (36.236617, -90.041772)"
2880,271342,MT,59263,4064872296,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"105 5TH AVE E, SCOBEY, MT 59263, (48.788636, -105.418526)"
2881,230096,MI,49091,2696517824,Acute Care Hospitals,Government - Local,1,3.0,,Average,,Average,,Average,,Above Average,,Average,,Above Average,,Average,,"916 MYRTLE AVE, STURGIS, MI 49091, (41.794193, -85.407291)"
2882,310083,NJ,7018,9732664401,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Above Average,,Above Average,,Below Average,,Below Average,,Average,,Below Average,,Unknown,Results are not available for this reporting period,"300 CENTRAL AVE, EAST ORANGE, NJ 07018, (40.753707, -74.213333)"
2883,231318,MI,49935,9062656121,Critical Access Hospitals,Voluntary non-profit - Other,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,"1400 W ICE LAKE ROAD, IRON RIVER, MI 49935, (46.09972, -88.620281)"
2884,271330,MT,59019,4063225316,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"710 N 11TH ST, COLUMBUS, MT 59019, (45.643456, -109.243241)"
2885,230019,MI,48075,2488493011,Acute Care Hospitals,Voluntary non-profit - Church,1,4.0,,Above Average,,Average,,Below Average,,Below Average,,Above Average,,Below Average,,Average,,"16001 W NINE MILE RD, SOUTHFIELD, MI 48075, (42.459196, -83.205163)"
2886,251335,MS,39328,7694861000,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"14365 HIGHWAY 16 WEST, DE KALB, MS 39328, (32.776819, -88.679122)"
2887,450620,TX,78834,8308762424,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Below Average,,Average,,Unknown,Results are not available for this reporting period,"704 HOSPITAL DRIVE, CARRIZO SPRINGS, TX 78834, (28.520082, -99.861322)"
2888,260138,MO,64111,8169322000,Acute Care Hospitals,Government - Hospital District or Authority,1,4.0,,Above Average,,Average,,Average,,Above Average,,Above Average,,Average,,Average,,"4401 WORNALL ROAD, KANSAS CITY, MO 64111, (39.04597, -94.590154)"
2889,251322,MS,39365,6017748214,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"25117 HIGHWAY 15, UNION, MS 39365, (32.559207, -89.102561)"
2890,313302,NJ,8053,8564894520,Childrens,Proprietary,1,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"92 BRICK ROAD, 3RD FLOOR, MARLTON, NJ 08053, (39.880588, -74.919209)"
2891,340039,NC,28677,7048735661,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Average,,Average,,Average,,Average,,"557 BROOKDALE DR P O BOX 1828, STATESVILLE, NC 28677, (35.79986, -80.876817)"
2892,210015,MD,21237,4437777850,Acute Care Hospitals,Voluntary non-profit - Private,0,3.0,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,"9000 FRANKLIN SQUARE DRIVE, BALTIMORE, MD 21237, (39.35033, -76.480998)"
2893,241352,MN,56087,5077236201,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,"625 JACKSON AVENUE NORTH, SPRINGFIELD, MN 56087, (44.245752, -94.971649)"
2894,241318,MN,55731,2183653271,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"328 WEST CONAN STREET, ELY, MN 55731, (47.900719, -91.871939)"
2895,241328,MN,56621,2186946501,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"203 4TH STREET NORTHWEST, BAGLEY, MN 56621, (47.525829, -95.402786)"
2896,250102,MS,39202,6019681000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Below Average,,Above Average,,Average,,Average,,Above Average,,"1225 N STATE ST, JACKSON, MS 39202, (32.314278, -90.178228)"
2897,330403,NY,14620,5857606500,Acute Care Hospitals,Government - State,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"435 EAST HENRIETTA ROAD, ROCHESTER, NY 14620, (43.111856, -77.616078)"
2898,241353,MN,56441,2185467000,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Below Average,,Above Average,,Average,,Above Average,,Average,,"320 EAST MAIN STREET, CROSBY, MN 56441, (46.482408, -93.94525)"
2899,290046,NV,89118,7028533000,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Below Average,,Below Average,,Below Average,,Average,,Below Average,,Average,,"5400 SOUTH RAINBOW BLVD, LAS VEGAS, NV 89118, (36.089714, -115.242882)"
2900,230105,MI,49770,2314874000,Acute Care Hospitals,Voluntary non-profit - Other,1,5.0,,Average,,Above Average,,Above Average,,Above Average,,Above Average,,Average,,Above Average,,"416 CONNABLE AVE, PETOSKEY, MI 49770, (45.373477, -84.969152)"
2901,250044,MS,38829,6627205000,Acute Care Hospitals,Voluntary non-profit - Church,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Above Average,,Average,,Average,,Above Average,,Average,,"100 HOSPITAL DRIVE, BOONEVILLE, MS 38829, (34.656413, -88.565762)"
2902,260207,MO,65803,4178374000,Acute Care Hospitals,Proprietary,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Average,,Below Average,,"2828 NORTH NATIONAL, SPRINGFIELD, MO 65803, (37.248812, -93.274438)"
2903,450431,TX,78705,5124767111,Acute Care Hospitals,Voluntary non-profit - Private,1,5.0,,Above Average,,Above Average,,Below Average,,Above Average,,Above Average,,Average,,Above Average,,"919 E 32ND ST, AUSTIN, TX 78705, (30.290095, -97.725128)"
2904,230121,MI,48867,9897235211,Acute Care Hospitals,Voluntary non-profit - Other,1,2.0,,Below Average,,Below Average,,Above Average,,Average,,Average,,Average,,Average,,"826 WEST KING STREET, OWOSSO, MI 48867, (43.005075, -84.182076)"
2905,261319,MO,63379,6365288551,Critical Access Hospitals,Government - Local,1,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Below Average,,Below Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1000 EAST CHERRY STREET, TROY, MO 63379, (38.983989, -90.964767)"
2906,250095,MS,38751,6628875235,Acute Care Hospitals,Government - Local,1,3.0,,Average,,Average,,Average,,Average,,Below Average,,Average,,Average,,"121 E BAKER ST, INDIANOLA, MS 38751, (33.457227, -90.648551)"
2907,281321,NE,68045,4026855601,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"601 EAST SECOND ST, OAKLAND, NE 68045, (41.834571, -96.459197)"
2908,250126,MS,38668,6625623100,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Below Average,,Average,,Average,,Unknown,Results are not available for this reporting period,"401 GETWELL DR, SENATOBIA, MS 38668, (34.624678, -89.956744)"
2909,261312,MO,64424,6604250284,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"2600 MILLER STREET, BETHANY, MO 64424, (40.265283, -94.025576)"
2910,230089,MI,48230,3133431000,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Above Average,,Above Average,,Below Average,,Average,,Above Average,,Average,,Average,,"468 CADIEUX RD, GROSSE POINTE, MI 48230, (42.384197, -82.915386)"
2911,281343,NE,68713,4029252811,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"406 W NEELY ST, ATKINSON, NE 68713, (42.52853, -98.98236)"
2912,231305,MI,48658,5178464521,Critical Access Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Below Average,,Average,,Average,,"805 W CEDAR ST, STANDISH, MI 48658, (43.982829, -83.968843)"
2913,210002,MD,21201,4103288667,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,"22 SOUTH GREENE STREET, BALTIMORE, MD 21201, (39.28747, -76.623577)"
2914,230081,MI,49601,2318767200,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Below Average,,Above Average,,Average,,Average,,Average,,Above Average,,"400 HOBART ST, CADILLAC, MI 49601, (44.246148, -85.390456)"
2915,291306,NV,89410,7757821500,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,"1107 HIGHWAY 395, GARDNERVILLE, NV 89410, (38.918394, -119.71936)"
2916,310031,NJ,8015,6098936611,Acute Care Hospitals,Voluntary non-profit - Private,0,4.0,,Average,,Above Average,,Average,,Above Average,,Average,,Unknown,Results are not available for this reporting period,Average,,"200 TRENTON ROAD, BROWNS MILLS, NJ 08015, (39.978635, -74.587035)"
2917,450617,TX,77598,2813322511,Acute Care Hospitals,Proprietary,1,3.0,,Above Average,,Above Average,,Below Average,,Below Average,,Above Average,,Average,,Average,,"500 MEDICAL CENTER BLVD, WEBSTER, TX 77598, (29.540676, -95.126804)"
2918,251333,MS,39470,6017954543,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"305 WEST MOODY STREET, POPLARVILLE, MS 39470, (30.857098, -89.54148)"
2919,320085,NM,88011,5755567600,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Above Average,,Below Average,,Below Average,,Above Average,,Below Average,,Average,,"4311 EAST LOHMAN AVENUE, LAS CRUCES, NM 88011, (32.322639, -106.728297)"
2920,291302,NV,89301,7752893001,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1500 AVENUE H, ELY, NV 89301, (39.256153, -114.859844)"
2921,250081,MS,39301,6014843590,Acute Care Hospitals,Proprietary,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1102 CONSTITUTION AVENUE, MERIDIAN, MS 39301, (32.36779, -88.699315)"
2922,241360,MN,56636,2182462900,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,"115 10TH AVENUE NORTHEAST, DEER RIVER, MN 56636, (47.343503, -93.791294)"
2923,270087,MT,59901,4067564720,Acute Care Hospitals,Proprietary,0,4.0,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Above Average,,Average,,Unknown,Results are not available for this reporting period,Below Average,,"320 SUNNYVIEW LANE, KALISPELL, MT 59901, (48.216276, -114.323654)"
2924,261323,MO,64744,4178762511,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1401 SOUTH PARK STREET, EL DORADO SPRINGS, MO 64744, (37.860457, -94.018516)"
2925,230254,MI,48307,2486525000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Below Average,,Average,,Above Average,,Average,,Average,,"1101 W UNIVERSITY DRIVE, ROCHESTER, MI 48307, (42.680882, -83.149228)"
2926,271314,MT,59722,4068462212,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"1100 HOLLENBACK LN, DEER LODGE, MT 59722, (46.412634, -112.72633)"
2927,241321,MN,56240,3207488200,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"115 SECOND STREET WEST, BOX 157, GRACEVILLE, MN 56240, (45.56241, -96.433452)"
2928,260102,MO,64139,8164047000,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Unknown,Results are not available for this reporting period,Average,,Average,,Below Average,,Average,,Average,,Unknown,Results are not available for this reporting period,"7900 LEE'S SUMMIT RD, KANSAS CITY, MO 64139, (38.973566, -94.39046)"
2929,230133,MI,49735,9897312100,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Average,,Above Average,,Above Average,,Average,,Average,,Average,,"825 N CENTER AVE, GAYLORD, MI 49735, (45.035374, -84.673886)"
2930,450462,TX,75231,2143456789,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Above Average,,Above Average,,Above Average,,Above Average,,Average,,Average,,"8200 WALNUT HILL LANE, DALLAS, TX 75231, (32.883138, -96.76358)"
2931,230241,MI,48054,8103297111,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,,Average,,Average,,Average,,Average,,Average,,Above Average,,Average,,"4100 RIVER RD, EAST CHINA, MI 48054, (42.785834, -82.478014)"
2932,450597,TX,77954,3612756191,Acute Care Hospitals,Government - Hospital District or Authority,1,4.0,,Average,,Average,,Above Average,,Above Average,,Average,,Above Average,,Average,,"2550 N ESPLANADE, CUERO, TX 77954, (29.112495, -97.281693)"
